lap_distance_m,speed_kph,throttle,brake
665.0,316.18029051552264,1.0,0.0
670.0,315.2829949968371,0.9904399332911611,0.2390016677209715
675.0,314.4203807004428,0.9789384093392374,0.526539766519064
680.0,313.55776640404855,0.9674368853873138,0.8140778653171564
685.0,311.75900471556133,0.8749031804956334,1.0
690.0,308.24741647436537,0.6341085582421981,1.0
695.0,304.73582823316946,0.39331393598876274,1.0
700.0,301.22423999197355,0.15251931373532746,1.0
705.0,297.1342012214722,0.0,1.0
710.0,292.04473374049076,0.0,1.0
715.0,286.95526625950924,0.0,1.0
720.0,281.8657987785278,0.0,1.0
725.0,275.85013793103445,0.0,1.0
730.0,269.2984137931034,0.0,1.0
735.0,262.74668965517236,0.0,1.0
740.0,255.78378378378375,0.0,1.0
745.0,248.6714082503556,0.0,1.0
750.0,241.55903271692745,0.0,1.0
755.0,234.53690476190474,0.0,1.0
760.0,228.5845238095238,0.0,1.0
765.0,222.63214285714284,0.0,1.0
770.0,216.6797619047619,0.0,1.0
775.0,210.72738095238094,0.0,1.0
780.0,206.47308001377567,0.0,1.0
785.0,202.45517162208702,0.0,1.0
790.0,198.43726323039834,0.0,1.0
795.0,194.9238870272858,0.0,1.0
800.0,192.1884702181495,0.0,1.0
805.0,189.45305340901317,0.0,1.0
810.0,186.12479999999996,0.011720000000000255,0.765599999999995
815.0,182.12479999999996,0.03672000000000025,0.26559999999999484
820.0,178.77341705913133,0.10826268969126235,0.0
825.0,176.15698587127156,0.23254317111460082,0.0
830.0,173.5405546834118,0.3568236525379393,0.0
835.0,172.0,0.43,0.0
840.0,172.0,0.43,0.0
845.0,172.9080802882141,0.5162676273803393,0.0
850.0,173.93741636644364,0.6140545548121467,0.0
855.0,175.0732242435323,0.673661212176616,0.0
860.0,176.2159246731877,0.730796233659384,0.0
865.0,177.35862510284304,0.7879312551421519,0.0
870.0,178.50132553249838,0.8450662766249198,0.0
875.0,179.0,0.87,0.0
880.0,179.0,0.87,0.0
885.0,183.00906842539163,0.8989543830722728,0.0
890.0,187.13107996702394,0.9287244664285061,0.0
895.0,191.25309150865624,0.9584945497847395,0.0
900.0,195.37510305028854,0.9882646331409728,0.0
905.0,198.02227472156596,1.0,0.0
910.0,199.70975362807965,1.0,0.0
915.0,202.27197892657227,1.0,0.0
920.0,205.01400374237943,1.0,0.0
925.0,207.4284420836603,1.0,0.0
930.0,209.84288042494114,1.0,0.0
935.0,212.257318766222,1.0,0.0
940.0,214.42927916769878,1.0,0.0
