lap_distance_m,session_uid,session_time,frame_id,player_car_index,lap_num,total_distance_m,sector,lap_invalid,pit_status,speed_kph,throttle,brake,steer,gear,rpm,g_lat,g_long,pos_x,pos_z,lap_time_s,drs
255.0,fastf1_2024_japan_q_VER,4225.221871767047,51,1,11,255.0,1,0,0,310.64022427202025,1.0,0.0,,8,11030.529643696871,,,337.1135395189003,67.05977572797974,88.197,12
260.0,fastf1_2024_japan_q_VER,4225.279748417435,52,1,11,260.0,1,0,0,310.82108880448544,1.0,0.0,,8,11038.306818592873,,,341.5808934707904,66.87891119551456,88.197,12
265.0,fastf1_2024_japan_q_VER,4225.337621106106,53,1,11,265.0,1,0,0,311.00517588421354,1.0,0.0,,8,11046.17598006326,,,346.04088948528704,66.69844723473594,88.197,12
270.0,fastf1_2024_japan_q_VER,4225.395130930701,54,1,11,270.0,1,0,0,311.4844244225055,1.0,0.0,,8,11062.470430365187,,,349.8269529377935,66.55467267324835,88.197,12
275.0,fastf1_2024_japan_q_VER,4225.452640755296,55,1,11,275.0,1,0,0,311.96367296079745,1.0,0.0,,8,11078.764880667113,,,353.6130163903,66.41089811176076,88.197,12
280.0,fastf1_2024_japan_q_VER,4225.510150579891,56,1,11,280.0,1,0,0,312.44292149908944,1.0,0.0,,8,11095.059330969041,,,357.3990798428065,66.26712355027317,88.197,12
285.0,fastf1_2024_japan_q_VER,4225.567660404486,57,1,11,285.0,1,0,0,312.92217003738136,1.0,0.0,,8,11111.353781270967,,,361.18514329531297,66.12334898878558,88.197,12
290.0,fastf1_2024_japan_q_VER,4225.625013757523,58,1,11,290.0,1,0,0,313.2000573230152,1.0,0.0,,8,11114.200057323014,,,364.06064775007167,65.97996560619089,88.197,12
295.0,fastf1_2024_japan_q_VER,4225.682336772715,59,1,11,295.0,1,0,0,313.43890321964267,1.0,0.0,,8,11114.438903219643,,,366.7596063819624,65.83665806821439,88.197,12
300.0,fastf1_2024_japan_q_VER,4225.739659787905,60,1,11,300.0,1,0,0,313.6777491162702,1.0,0.0,,8,11114.67774911627,,,369.4585650138531,65.6933505302379,88.197,12
305.0,fastf1_2024_japan_q_VER,4225.7969828030955,61,1,11,305.0,1,0,0,313.9165950128977,1.0,0.0,,8,11114.916595012897,,,372.1575236457438,65.5500429922614,88.197,12
310.0,fastf1_2024_japan_q_VER,4225.8541885714285,62,1,11,310.0,1,0,0,314.23242857142856,1.0,0.0,,8,11119.648571428572,,,373.1,65.5,88.197,12
315.0,fastf1_2024_japan_q_VER,4225.911331428571,63,1,11,315.0,1,0,0,314.58957142857145,1.0,0.0,,8,11126.791428571429,,,373.1,65.5,88.197,12
320.0,fastf1_2024_japan_q_VER,4225.968474285714,64,1,11,320.0,1,0,0,314.9467142857143,1.0,0.0,,8,11133.934285714286,,,373.1,65.5,88.197,12
325.0,fastf1_2024_japan_q_VER,4226.02561886846,65,1,11,325.0,1,0,0,315.0,1.0,0.0,,8,11135.603961098885,,,378.26386739547104,65.28861361539008,88.197,12
330.0,fastf1_2024_japan_q_VER,4226.082763753816,66,1,11,330.0,1,0,0,315.0,1.0,0.0,,8,11136.313835451125,,,384.33329310712,65.0401575921062,88.197,12
335.0,fastf1_2024_japan_q_VER,4226.139896529969,67,1,11,335.0,1,0,0,315.0105362776025,1.0,0.0,,8,11137.24760252366,,,390.29535331230284,64.79578548895898,88.197,12
340.0,fastf1_2024_japan_q_VER,4226.196678864353,68,1,11,340.0,1,0,0,315.32599369085176,1.0,0.0,,8,11144.660851735016,,,393.15024290220816,64.66960252365931,88.197,12
345.0,fastf1_2024_japan_q_VER,4226.253461198738,69,1,11,345.0,1,0,0,315.64145110410095,1.0,0.0,,8,11152.074100946373,,,396.00513249211355,64.54341955835962,88.197,12
350.0,fastf1_2024_japan_q_VER,4226.310243533123,70,1,11,350.0,1,0,0,315.95690851735014,1.0,0.0,,8,11159.48735015773,,,398.86002208201893,64.41723659305994,88.197,12
355.0,fastf1_2024_japan_q_VER,4226.367025867507,71,1,11,355.0,1,0,0,316.2723659305994,1.0,0.0,,8,11166.900599369084,,,401.71491167192426,64.29105362776025,88.197,12
360.0,fastf1_2024_japan_q_VER,4226.423808201893,72,1,11,360.0,1,0,0,316.5878233438486,1.0,0.0,,8,11174.313848580441,,,404.56980126182964,64.16487066246057,88.197,12
365.0,fastf1_2024_japan_q_VER,4226.480590536277,73,1,11,365.0,1,0,0,316.9032807570978,1.0,0.0,,8,11181.727097791798,,,407.424690851735,64.03868769716088,88.197,12
370.0,fastf1_2024_japan_q_VER,4226.537248316069,74,1,11,370.0,1,0,0,317.19624158034753,1.0,0.0,,8,11189.691005830078,,,410.7530197543443,63.90187920982623,88.197,12
375.0,fastf1_2024_japan_q_VER,4226.593851021678,75,1,11,375.0,1,0,0,317.47925510839417,1.0,0.0,,8,11197.898398143432,,,414.2906888549273,63.76037244580291,88.197,12
380.0,fastf1_2024_japan_q_VER,4226.650453727289,76,1,11,380.0,1,0,0,317.7622686364408,1.0,0.0,,8,11206.105790456784,,,417.8283579555103,63.61886568177959,88.197,12
385.0,fastf1_2024_japan_q_VER,4226.707028323536,77,1,11,385.0,1,0,0,318.02514853352613,1.0,0.0,,8,11213.980792807519,,,421.11938637578197,63.48491087988432,88.197,12
390.0,fastf1_2024_japan_q_VER,4226.7634553456355,78,1,11,390.0,1,0,0,318.1823268680645,1.0,0.0,,8,11220.110747854516,,,423.1155512244192,63.3906038791613,88.197,12
395.0,fastf1_2024_japan_q_VER,4226.819882367735,79,1,11,395.0,1,0,0,318.3395052026029,1.0,0.0,,8,11226.240702901512,,,425.11171607305647,63.29629687843828,88.197,12
400.0,fastf1_2024_japan_q_VER,4226.876309389834,80,1,11,400.0,1,0,0,318.4966835371412,1.0,0.0,,8,11232.370657948508,,,427.1078809216938,63.201989877715256,88.197,12
405.0,fastf1_2024_japan_q_VER,4226.932736411933,81,1,11,405.0,1,0,0,318.6538618716796,1.0,0.0,,8,11238.500612995505,,,429.104045770331,63.107682876992236,88.197,12
